,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
3059,F32475,2020-08-07 00:00:00,2020-08-22,2271.72
3060,F32476,2020-07-22 00:00:00,2020-09-21,5088.55
3065,F32481,2020-07-23 00:00:00,2020-09-21,10177.1
3074,F32490,2020-08-10 00:00:00,2020-09-09,1970.0000000000002
3078,F32494,2020-08-10 00:00:00,2020-08-25,4982.76
3091,F32507,2020-08-05 00:00:00,2020-08-27,5000.0
3121,F32537,2020-08-14 00:00:00,2020-08-14,3200.0
3127,F32543,2020-08-11 00:00:00,2020-08-17,2079.0
3160,F32576,2020-08-19 00:00:00,2020-08-19,290.0
3179,F32595,2020-08-17 00:00:00,2020-09-19,17372.82
3222,F32638,2020-08-13 00:00:00,2020-09-25,11484.000000000002
3223,F32639,2020-08-14 00:00:00,2020-09-25,1476.72
3239,F32655,2020-08-26 00:00:00,2020-09-26,1397.0000000000002
3242,F32658,2020-08-17 00:00:00,2020-09-11,1662.15
3255,F32671,2020-08-28 00:00:00,2020-09-27,1500.0000000000002
3267,F32683,2020-08-31 00:00:00,2020-08-31,8.0
3269,F32685,2020-08-31 00:00:00,2020-09-30,23625.000000000004
3316,F32732,2020-08-28 00:00:00,2020-10-03,756.0000000000001
3317,F32733,2020-09-03 00:00:00,2020-10-03,1397.0000000000002
3318,F32734,2020-08-27 00:00:00,2020-10-03,8700.0
3324,F32740,2020-09-03 00:00:00,2020-10-03,2386.5600000000004
3346,F32762,2020-09-07 00:00:00,2020-10-07,1211.25
3347,F32763,2020-09-07 00:00:00,2020-10-07,4543.4400000000005
3360,F32776,2020-09-04 00:00:00,2020-10-07,4191.0
3364,F32780,2020-09-08 00:00:00,2020-10-08,1129.5
3376,F32792,2020-08-26 00:00:00,2020-09-08,1390.24
3390,F32806,2020-09-10 00:00:00,2020-10-09,690.0
3416,F32832,2020-09-04 00:00:00,2020-10-26,3129.5000000000005
3463,F32879,2020-09-17 00:00:00,2020-10-21,7308.000000000001
3479,F32895,2020-09-22 00:00:00,2020-09-22,1293.1034000000002
3500,F32916,2020-09-28 00:00:00,2020-09-28,2403.4291
3506,F32922,2020-09-18 00:00:00,2020-09-28,1944.7200000000003
3519,F32935,2020-09-21 00:00:00,2020-10-28,5496.0
3523,F32939,2020-09-21 00:00:00,2020-10-29,3754.12
3527,F32943,2020-09-29 00:00:00,2020-09-29,10701.696
3528,F32944,2020-06-29 00:00:00,2020-09-29,1101.6
3529,F32945,2020-09-15 00:00:00,2020-09-29,968.4000000000001
3541,F32957,2020-09-30 00:00:00,2020-09-30,5347.9827000000005
3549,F32965,2020-10-05 00:00:00,2020-11-29,9450.0
3556,F32972,2020-09-24 00:00:00,2020-10-08,279.0
3599,F33015,2020-10-01 00:00:00,2020-11-04,1960.0
3600,F33016,2020-10-05 00:00:00,2020-10-05,12009.400000000001
3601,F33017,2020-10-05 00:00:00,2020-10-05,972.3600000000001
3602,F33018,2020-10-05 00:00:00,2020-10-05,972.3600000000001
3604,F33020,2020-10-05 00:00:00,2020-10-05,5347.9800000000005
3611,F33027,2020-10-06 00:00:00,2020-10-06,1781.2500000000002
3621,F33037,2020-10-07 00:00:00,2020-11-06,11484.000000000002
3629,F33045,2020-10-01 00:00:00,2020-11-06,2600.0
3654,F33070,2020-10-02 00:00:00,2020-10-09,4520.0
3660,F33076,2020-10-09 00:00:00,2020-10-09,1970.0000000000002
3675,F33091,2020-10-13 00:00:00,2020-10-28,115.0
3687,F33103,2020-09-29 00:00:00,2020-11-13,1041.0
3691,F33107,2020-10-14 00:00:00,2020-11-13,1770.4350000000002
3713,F33129,2020-10-06 00:00:00,2020-11-13,1300.0
3720,F33136,2020-09-22 00:00:00,2020-10-15,5347.9800000000005
3752,F33168,2020-10-13 00:00:00,2020-11-18,3380.0000000000005
3758,F33174,2020-10-15 00:00:00,2020-11-18,543.0000000000001
3796,F33212,2020-10-22 00:00:00,2020-10-22,534.5454
3832,F33248,2020-11-02 00:00:00,2020-12-26,23625.000000000004
3856,F33272,2020-10-29 00:00:00,2020-10-29,146.14999999999998
3875,F33291,2020-10-30 00:00:00,2020-11-29,347.50000000000006
3883,F33299,2020-10-30 00:00:00,2020-11-29,1077.0545000000002
3923,F33339,2020-11-05 00:00:00,2020-12-05,1305.0
3968,F33384,2020-11-03 00:00:00,2020-11-12,1530.0000000000002
3979,F33395,2020-11-13 00:00:00,2020-12-13,51180.00000000001
3984,F33400,2020-11-17 00:00:00,2020-11-13,5610.000000000001
3993,F33409,2020-11-03 00:00:00,2020-11-17,1530.0
3994,F33410,2020-11-17 00:00:00,2020-11-17,5610.000000000001
4012,F33428,2020-11-18 00:00:00,2020-12-18,713.9046
4013,F33429,2020-11-13 00:00:00,2020-12-18,51180.0
4024,F33440,2020-11-18 00:00:00,2020-12-18,1450.0000000000002
4033,F33449,2020-11-13 00:00:00,2021-01-18,9450.0
4071,F33487,2020-11-24 00:00:00,2020-12-24,3630.0000000000005
4096,F33512,2020-11-25 00:00:00,2020-12-25,2004.545
4125,F33541,2020-11-27 00:00:00,2020-12-27,143.4109
4175,F33591,2020-12-01 00:00:00,2020-12-01,3740.0000000000005
4182,F33598,2020-12-01 00:00:00,2020-12-31,1550.43
4202,F33618,2020-12-03 00:00:00,2021-01-02,4750.000000000001
4238,F33654,2020-11-25 00:00:00,2020-12-07,11138.1
4246,F33662,2020-11-25 00:00:00,2021-01-07,2098.5
4266,F33682,2020-12-11 00:00:00,2020-12-09,4325.8
4272,F33688,2020-12-09 00:00:00,2021-01-08,2925.0
4302,F33718,2020-12-17 00:00:00,2020-12-14,1724.0
